nome,partido,email,telefone,twitter,facebook,foto
Márcio Bins Ely,PDT,binsely@camarapoa.rs.gov.br,3320-4242 | 3320-4243 | 3320-4244,@marciobinsely,https://www.facebook.com/pages/M%C3%A1rcio-Bins-Ely/111527152272480,fotos_21_marciobinsely.jpg
Mario Fraga,PDT,mariofraga@camarapoa.rs.gov.br,3320-4218 | 3320-4219 | 3320-4220,,https://www.facebook.com/pages/Vereador-Mario-Fraga/137417836456384,fotos_22_mariofraga.jpg
Mario Manfro,PSDB,mariomanfro@camarapoa.rs.gov.br,3320-4224 | 3320-4225 | 3320-4226,@mariomanfro,https://www.facebook.com/mariomanfro,fotos_23_mariomanfro.jpg
Mauro Pinheiro,PT,mauropinheiro@camarapoa.rs.gov.br,3320-4251 | 3320-4252 | 3320-4253,@mauropinheiro,https://www.facebook.com/VereadorMauroPinheiro,fotos_24_mauropinheiro.jpg
Mônica Leal,PP,monicaleal@camarapoa.rs.gov.br,3320-4290 | 3320-4291 | 3320-4292,,https://www.facebook.com/EuApoioMonicaLeal11123,fotos_25_monicaleal.jpg
Nereu D'Avila,PDT,nereudavila@camarapoa.rs.gov.br,3320-4227 | 3320-4228 | 3320-4229,@NereuDAvila,https://www.facebook.com/NereuDAvila.poa,fotos_26_nereudavila.jpg
Paulinho Motorista,PSB,paulinhomotorista@camarapoa.rs.gov.br,3320-4293 | 3320-4294 | 3320-4295,,,fotos_27_paulinhomotorista.jpg
Paulo Brum,PTB,paulobrum@camarapoa.rs.gov.br,3320-4248 | 3320-4249 | 3320-4250,,https://www.facebook.com/paulo.brum.33,fotos_28_paulobrum.jpg
Pedro Ruas,PSOL,pedroruas@camarapoa.rs.gov.br,3320-4272 | 3320-4273 | 3320-4274,@pedroruaspsol,https://www.facebook.com/pedro.ruasiii,fotos_29_pedroruas.jpg
Professor Garcia,PMDB,professorgarcia@camarapoa.rs.gov.br,3320-4287 | 3320-4288 | 3320-4289,,https://www.facebook.com/pages/Vereador-Professor-Garcia/307506535962527,fotos_30_professorgarcia.jpg
Reginaldo Pujol,DEM,pujol@camarapoa.rs.gov.br,3320-4278 | 3320-4279 | 3320-4280,@Pujol25625,https://www.facebook.com/reginaldopujol,fotos_31_reginaldopujol.jpg
Séfora Mota,PRB,seforamota@camarapoa.rs.gov.br,3320-4266 | 3320-4267 | 3320-4268,@verSeforaMota,https://www.facebook.com/vereadoraseforamota,fotos_32_seforamota.jpg
Sofia Cavedon,PT,sofia@camarapoa.rs.gov.br,3320-4263 | 3320-4264 | 3320-4265,@sofiacavedonPT,https://www.facebook.com/sofiacavedon,fotos_33_sofiacavedon.jpg
Tarciso Flecha Negra,PSD,tarcisoflechanegra@camarapoa.rs.gov.br,3320-4260 | 3320-4261 | 3320-4262,,https://www.facebook.com/pages/Tarciso-Flecha-Negra/108266405924703,fotos_34_tarcisoflechanegra.jpg
Valter Nagelstein,PMDB,valtern@camarapoa.rs.gov.br,3320-4299 | 3320-4300 | 3320-4301,@valtern,https://www.facebook.com/valter.nagelsteinperfillotado,fotos_35_valternagelstein.jpg
Waldir Canal,PRB,waldircanal@camarapoa.rs.gov.br,3320-4275 | 3320-4276 | 3320-4277,@waldircanal,https://www.facebook.com/waldir.canal,fotos_36_waldircanal.jpg
